,Full Address,Lat,Lon,Lead,Arsenic
204,"Brookview,Schietler,Austin,TX",30.23574,-97.88594,14.64,0
205,"Brookview,Schietler,Austin,TX",30.23574,-97.88594,44.75,0
206,"ColonyLoopDr,ValleyFieldDr,Austin,TX",30.29868,-97.62961,10.64,0
207,"SenderoHill,AlsaceTr,Austin,TX",30.29128,-97.6467,11.73,8.34
208,"WhisperingValleyDr,MistyBrook,Austin,TX",30.41776,-97.73278,8.94,5.79
209,"Chisholmln,Slaughter,Austin,TX",30.17386,-97.81095,19.88,0
210,"AnnieOakley,Derringer,Austin,TX",30.36771,-97.68783,9.78,0
211,"Rainey,Rivier,Austin,TX",30.26759,-97.74299,13.86,0
212,"16th,DeloneySt.,Austin,TX",30.26759,-97.74299,22.64,7.7
213,"9th,Chicon,Austin,TX",30.26419,-97.72138,77.52,0
214,"9th,Chicon,Austin,TX",30.26419,-97.72138,49.43,0
215,"HankST,Casey,Austin,TX",30.22491,-97.77965,14.88,7.52
216,"HankSt,Casey,Austin,TX",30.22491,-97.77965,10.73,8.55
217,"Ridgehaven,Belfast,Austin,TX",30.3127,-97.69703,55.15,0
218,"30th,Kerbey,Austin,TX",30.30199,-97.75334,74.15,0
219,"30th,Kerbey,Austin,TX",30.30199,-97.75334,70.12,0
220,"MountBonnell,TwinValleyCove,Austin,TX",30.34875,-97.78047,9.91,0
221,"Gonzales,Pedernales,Austin,TX",30.26184,-97.71328,142.64,0
222,"Frend,32nd,Austin,TX",30.3003,-97.74297,46.68,0
223,"Alamo,21st,Austin,TX",30.28211,-97.71971,33.63,8.53
224,"Willow,SanSaba,Austin,TX",30.25299,-97.71585,67.35,0
225,"TaylorGaines,BellairDr.,Austin,TX",30.24122,-97.73445,0,0
226,"Burrell,Villanova,Austin,TX",30.36002,-97.72125,15.47,9.02
227,"Summit,PrairieLane,Austin,TX",30.47435,-97.68372,11.74,0
228,"Rockmoor,Steverson,Austin,TX",30.30016,-97.77906,12.37,0
229,"Rookbridge,FairHaven,Austin,TX",30.26759,-97.74299,18.42,0
230,"French,32nd,Austin,TX",30.28767,-97.71873,29.12,0
231,"StarGazerWay,SpringBrook,Austin,TX",,,0,0
232,"Holly,Waller,Austin,TX",30.25632,-97.73427,27.4,0
233,"32nd,French,Austin,TX",30.28767,-97.71873,15.45,0
234,"Longwood,TallOaks,Austin,TX",30.22175,-97.99194,15.24,0
235,"Whitebrook,CrystalBrook,Austin,TX",30.30494,-97.6529,9.15,0
236,"LakeAustin,VeteransDr,Austin,TX",30.27768,-97.77186,19.2,0
237,"Longwood,TallOaks,Austin,TX",30.22175,-97.99194,0,8.2
238,"9th,Mill,Austin,TX",30.26361,-97.71887,58.01,0
239,"49th,Sunrise,Austin,TX",30.26759,-97.74299,39.44,0
240,"Gochman,ZachScott,Austin,TX",30.29427,-97.7019,0,0
241,"GarnerAve,TreadwellSt,Austin,TX",30.25866,-97.76646,89.8,0
242,"14th,Salina,Austin,TX",30.27559,-97.72133,73.13,0
243,"RoyalDublin,Pasatiempo,Austin,TX",30.49619,-97.76011,8.04,0
